[LINE:2]# [2019-10-11 15:39:00,791]  Started
[LINE:14]# [2019-10-11 17:22:49,673]  Ошибка SGDClassifier: 10.78% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:23:00,536]  Ошибка SGDClassifier: 10.43% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:23:11,213]  Ошибка SGDClassifier: 10.13% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:23:22,024]  Ошибка SGDClassifier: 10.08% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:23:32,623]  Ошибка SGDClassifier: 10.01% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:23:43,207]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:23:53,871]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:24:04,523]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:24:15,003]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:24:25,594]  Ошибка SGDClassifier: 13.04% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:24:36,196]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:24:47,032]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:24:57,548]  Ошибка SGDClassifier: 11.54% with params {'loss': 'hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:25:08,811]  Ошибка SGDClassifier: 18.11% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:25:20,069]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:25:31,455]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:25:42,750]  Ошибка SGDClassifier: 13.93% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:25:54,056]  Ошибка SGDClassifier: 11.47% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:26:05,311]  Ошибка SGDClassifier: 11.28% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:26:16,412]  Ошибка SGDClassifier: 11.11% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:26:27,554]  Ошибка SGDClassifier: 11.44% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:26:39,126]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:26:49,440]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:26:59,110]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:27:08,723]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:27:18,206]  Ошибка SGDClassifier: 18.68% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:27:27,735]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:27:37,338]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:27:46,800]  Ошибка SGDClassifier: 13.34% with params {'loss': 'hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:27:56,407]  Ошибка SGDClassifier: 16.94% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:28:05,994]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:28:15,613]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:28:25,275]  Ошибка SGDClassifier: 14.52% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:28:34,856]  Ошибка SGDClassifier: 14.50% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:28:44,445]  Ошибка SGDClassifier: 14.80% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:28:54,031]  Ошибка SGDClassifier: 14.80% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:29:03,629]  Ошибка SGDClassifier: 14.68% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:29:13,322]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:29:22,992]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:29:32,662]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:29:42,258]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:29:51,895]  Ошибка SGDClassifier: 17.33% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:30:01,536]  Ошибка SGDClassifier: 27.51% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:30:11,160]  Ошибка SGDClassifier: 27.56% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:30:20,801]  Ошибка SGDClassifier: 14.50% with params {'loss': 'hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:30:29,721]  Ошибка SGDClassifier: 15.81% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:30:38,635]  Ошибка SGDClassifier: 27.53% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:30:47,552]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:30:56,478]  Ошибка SGDClassifier: 10.80% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:31:05,400]  Ошибка SGDClassifier: 9.11% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:31:14,328]  Ошибка SGDClassifier: 9.23% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:31:23,252]  Ошибка SGDClassifier: 9.18% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:31:32,171]  Ошибка SGDClassifier: 9.23% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:31:41,107]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:31:50,103]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:31:59,031]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:32:07,965]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:32:16,880]  Ошибка SGDClassifier: 16.09% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:32:25,835]  Ошибка SGDClassifier: 27.53% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:32:34,761]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:32:43,685]  Ошибка SGDClassifier: 10.67% with params {'loss': 'log', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:32:52,653]  Ошибка SGDClassifier: 21.43% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:33:01,657]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:33:10,580]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:33:19,507]  Ошибка SGDClassifier: 19.89% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:33:28,454]  Ошибка SGDClassifier: 19.99% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:33:37,384]  Ошибка SGDClassifier: 19.95% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:33:46,318]  Ошибка SGDClassifier: 19.54% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:33:55,262]  Ошибка SGDClassifier: 19.82% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:34:04,218]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:34:13,156]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:34:22,096]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:34:31,068]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:34:40,018]  Ошибка SGDClassifier: 21.66% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:34:48,967]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:34:57,914]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:35:06,866]  Ошибка SGDClassifier: 19.22% with params {'loss': 'log', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:35:16,574]  Ошибка SGDClassifier: 21.96% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:35:26,275]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:35:35,954]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:35:45,638]  Ошибка SGDClassifier: 16.52% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:35:55,305]  Ошибка SGDClassifier: 15.51% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:36:04,958]  Ошибка SGDClassifier: 15.57% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:36:14,614]  Ошибка SGDClassifier: 15.31% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:36:24,266]  Ошибка SGDClassifier: 15.25% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:36:33,955]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:36:43,644]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:36:53,331]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:37:03,037]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:37:12,867]  Ошибка SGDClassifier: 22.03% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:37:22,663]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:37:32,357]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:37:42,053]  Ошибка SGDClassifier: 17.66% with params {'loss': 'log', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:37:51,843]  Ошибка SGDClassifier: 23.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:38:01,657]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:38:11,346]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:38:21,140]  Ошибка SGDClassifier: 21.71% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:38:30,946]  Ошибка SGDClassifier: 21.84% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:38:40,756]  Ошибка SGDClassifier: 21.26% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:38:50,555]  Ошибка SGDClassifier: 21.38% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:39:00,358]  Ошибка SGDClassifier: 21.42% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:39:10,058]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:39:19,744]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:39:29,436]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:39:39,154]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:39:48,948]  Ошибка SGDClassifier: 23.23% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:39:58,684]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:40:08,383]  Ошибка SGDClassifier: 27.56% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:40:18,200]  Ошибка SGDClassifier: 21.57% with params {'loss': 'log', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:40:27,080]  Ошибка SGDClassifier: 7.09% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:40:35,986]  Ошибка SGDClassifier: 15.50% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:40:44,897]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:40:53,761]  Ошибка SGDClassifier: 7.21% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:41:02,601]  Ошибка SGDClassifier: 7.75% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:41:11,430]  Ошибка SGDClassifier: 8.39% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:41:20,257]  Ошибка SGDClassifier: 8.13% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:41:29,090]  Ошибка SGDClassifier: 7.82% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:41:38,031]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:41:46,974]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:41:55,908]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:42:04,843]  Ошибка SGDClassifier: 27.49% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:42:13,821]  Ошибка SGDClassifier: 7.02% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:42:22,747]  Ошибка SGDClassifier: 15.01% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:42:31,674]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.001}
